iter	RMSE
525	3.793320827
526	3.79304187
527	3.790155154
528	3.788243159
529	3.786206993
530	3.783232143
531	3.779962539
532	3.775618896
533	3.773949432
534	3.772032999
535	3.769326406
536	3.768527925
537	3.764941978
538	3.763214032
539	3.76234982
540	3.761581965
541	3.757534386
542	3.756290537
543	3.752854848
544	3.752010551
545	3.750500811
546	3.748249454
547	3.74571225
548	3.745200052
549	3.742660443
550	3.739635149
551	3.739075308
552	3.735762476
553	3.733627321
554	3.732836753
555	3.732077684
556	3.7302797
557	3.727753432
558	3.725317377
559	3.723047838
560	3.722511701
561	3.721894572
562	3.719343308
563	3.715486325
564	3.715169409
565	3.712321827
566	3.709759327
567	3.705826322
568	3.702513551
569	3.701577703
570	3.699818174
571	3.698686873
572	3.696255243
573	3.69517553
574	3.692692359
575	3.690279725
576	3.688806385
577	3.687936864
578	3.686668712
579	3.683155292
580	3.68261471
581	3.678847961
582	3.678151708
583	3.677718019
584	3.675361127
585	3.672351857
586	3.669090143
587	3.667659402
588	3.664629641
589	3.662036709
590	3.659465979
591	3.65670228
592	3.653687649
593	3.650229712
594	3.647404873
595	3.643067645
596	3.641326388
597	3.639690015
598	3.637328334
599	3.635149564
600	3.631333359
601	3.631109832
602	3.628481917
603	3.624896441
604	3.624757999
605	3.624200841
606	3.620926042
607	3.617000033
608	3.616419007
609	3.614495054
610	3.611333455
611	3.609169374
612	3.608585858
613	3.606114601
614	3.604731529
615	3.602609512
616	3.599376176
617	3.595778988
618	3.595181434
619	3.592978539
620	3.58998066
621	3.589579428
622	3.587229716
623	3.585565911
624	3.582091528
625	3.579430272
626	3.577570312
627	3.577408311
628	3.57448581
629	3.572539898
630	3.572213124
631	3.569387463
632	3.566997683
633	3.564715346
634	3.562541882
635	3.561338001
636	3.55940532
637	3.558563829
638	3.555544273
639	3.555290993
640	3.553600085
641	3.549578378
642	3.549470915
643	3.546795972
644	3.54531422
645	3.543448475
646	3.542045775
647	3.540847741
648	3.540587216
649	3.538485721
650	3.534916752
651	3.531610653
652	3.528018222
653	3.525680528
654	3.522824261
655	3.519566063
656	3.51823992
657	3.51629373
658	3.516045954
659	3.514100246
660	3.511091082
661	3.508005493
662	3.507410268
663	3.50473836
664	3.503334362
665	3.500251794
666	3.499474575
667	3.49648521
668	3.492748732
669	3.490757242
670	3.490403809
671	3.489261805
672	3.488714915
673	3.488327473
674	3.484795631
675	3.481545715
676	3.480383634
677	3.477845631
678	3.476707222
679	3.473872193
680	3.473430873
681	3.470966498
682	3.470349352
683	3.467550747
684	3.465037653
685	3.462814936
686	3.4608747
687	3.458433177
688	3.457688817
689	3.455360245
690	3.452704958
691	3.449507782
692	3.447844411
693	3.444963599
694	3.44033591
695	3.4388155
696	3.437589582
697	3.436857868
698	3.434680826
699	3.434354714
700	3.431411043
701	3.42900853
702	3.427594287
703	3.427371093
704	3.426435864
705	3.424978672
706	3.421824554
707	3.419898478
708	3.417325277
709	3.415924849
710	3.412903693
711	3.410554541
712	3.408721136
713	3.407543506
714	3.406075692
715	3.405667844
716	3.402635834
717	3.40075923
718	3.398948077
719	3.395921161
720	3.392029773
721	3.39182118
722	3.391243191
723	3.388856347
724	3.387386151
725	3.384612103
726	3.382440348
727	3.379390582
728	3.375531921
729	3.374002175
730	3.372481724
731	3.370448601
732	3.369802019
733	3.368827244
734	3.367516321
735	3.366674714
736	3.366161081
737	3.365745046
738	3.363405828
739	3.360870533
740	3.359723024
741	3.357334026
742	3.355588041
743	3.353147825
744	3.347583667
745	3.346430018
746	3.343319676
747	3.341667595
748	3.340846977
749	3.339784679
750	3.338292965
751	3.335985455
752	3.333998604
753	3.333143773
754	3.332072994
755	3.330689046
756	3.326825806
757	3.323686742
758	3.322837172
759	3.320967681
760	3.319173963
761	3.316990945
762	3.316155158
763	3.315664473
764	3.31487899
765	3.312262395
766	3.309207141
767	3.305505794
768	3.302979826
769	3.300344106
770	3.29932769
771	3.297257282
772	3.295001947
773	3.291242052
774	3.290328903
775	3.290175883
776	3.288589576
777	3.288324504
778	3.285530631
779	3.282601844
780	3.282481527
781	3.282139044
782	3.280195555
783	3.279317713
784	3.276567077
785	3.276181469
786	3.274348589
787	3.272180705
788	3.270556981
789	3.267683312
790	3.265544717
791	3.262957993
792	3.260462894
793	3.259598678
794	3.257507256
795	3.256402159
796	3.256208852
797	3.253775396
798	3.253597596
799	3.253388917
800	3.249687157
801	3.249259342
802	3.248621694
803	3.246004333
804	3.244494919
805	3.243324185
806	3.239181089
807	3.23567809
808	3.233695403
809	3.230554133
810	3.22949535
811	3.229263531
812	3.227228974
813	3.22389102
814	3.22311437
815	3.222093727
816	3.221082305
817	3.220092485
818	3.218228259
819	3.216813706
820	3.215556239
821	3.214567386
822	3.212654925
823	3.210500075
824	3.207962273
825	3.206249662
826	3.205051763
827	3.204172569
828	3.202176853
829	3.201808736
830	3.200555809
831	3.197674185
832	3.196780486
833	3.196491413
834	3.194813915
835	3.192448258
836	3.190135628
837	3.18859344
838	3.18699352
839	3.186907812
840	3.185012372
841	3.184591298
842	3.182223008
843	3.181156643
844	3.179594049
845	3.177769106
846	3.176293443
847	3.173658446
848	3.171946401
849	3.170312682
850	3.16991
851	3.168618831
852	3.165994964
853	3.162522214
854	3.16146003
855	3.160595598
856	3.159762124
857	3.157313987
858	3.154862719
859	3.154156119
860	3.153190318
861	3.149626367
862	3.147889955
863	3.144446635
864	3.142446243
865	3.142246394
866	3.139647249
867	3.136977096
868	3.136311121
869	3.136249825
870	3.134264296
871	3.133310488
872	3.132419592
873	3.130219009
874	3.127763604
875	3.124959364
876	3.124809451
877	3.123165693
878	3.121842455
879	3.121184286
880	3.121063272
881	3.119308905
882	3.118326533
883	3.116244331
884	3.115260191
885	3.114033512
886	3.112658405
887	3.109586576
888	3.10923454
889	3.108356956
890	3.106500882
891	3.105288666
892	3.103761961
893	3.10183129
894	3.099689525
895	3.098045787
896	3.096478809
897	3.096311921
898	3.094604975
899	3.091751531
900	3.089765858
901	3.087262769
902	3.086169934
903	3.083629236
904	3.081353214
905	3.080429779
906	3.077513717
907	3.075920533
908	3.074138999
909	3.072360269
910	3.072105366
911	3.069607047
912	3.069103985
913	3.06808215
914	3.068010182
915	3.067569405
916	3.067061041
917	3.066151486
918	3.065418818
919	3.062959602
920	3.061929739
921	3.061120223
922	3.060659718
923	3.059128946
924	3.056115683
925	3.05491918
926	3.051864677
927	3.050964525
928	3.048469109
929	3.047720352
930	3.046701754
931	3.044472512
932	3.042759475
933	3.04145677
934	3.041387627
935	3.038050439
936	3.035745153
937	3.035465344
938	3.033404992
939	3.033269966
940	3.032561947
941	3.031487779
942	3.0296518
943	3.029200851
944	3.028403679
945	3.025833763
946	3.02463592
947	3.02286627
948	3.022546681
949	3.022301308
950	3.020340666
951	3.018518258
952	3.017523154
953	3.016339643
954	3.015748253
955	3.014165297
956	3.012314296
957	3.010870586
958	3.010231564
959	3.008504861
960	3.007821587
961	3.006373137
962	3.004602418
963	3.001491918
964	2.999403649
965	2.999266536
966	2.997935055
967	2.996149752
968	2.995908723
969	2.99380082
970	2.992369625
971	2.991394625
972	2.989096243
973	2.986671028
974	2.986052869
975	2.985512661
976	2.983628619
977	2.981870278
978	2.979838813
979	2.978982604
980	2.97736168
981	2.974159799
982	2.972657328
983	2.971256833
984	2.9707456
985	2.968502202
986	2.9665629
987	2.964661207
988	2.963724931
989	2.962972785
990	2.961088079
991	2.959331015
992	2.958920061
993	2.958679155
994	2.957284129
995	2.956422123
996	2.954786645
997	2.952613544
998	2.952196863
999	2.950989284
